population_size;mutation_chance;crossover;selection;fitness;iterations;result
20;0,1;OX;roulette;6902;1148;[63, 96, 64, 19, 16, 74, 70, 29, 61, 65, 12, 92, 95, 90, 78, 87, 46, 24, 18, 28, 86, 89, 58, 5, 31, 8, 83, 99, 41, 30, 62, 85, 100, 13, 10, 76, 50, 21, 97, 43, 67, 2, 55, 14, 73, 35, 40, 7, 3, 51, 15, 68, 42, 54, 44, 57, 39, 38, 88, 25, 59, 37, 79, 34, 94, 84, 47, 60, 1, 36, 80, 22, 56, 66, 6, 45, 27, 77, 75, 32, 9, 17, 53, 11, 4, 23, 81, 20, 48, 82, 26, 33, 49, 69, 91, 72, 93, 52, 71, 98]
40;0,1;OX;roulette;6713;960;[78, 59, 26, 47, 15, 41, 95, 60, 80, 54, 33, 63, 49, 31, 39, 65, 87, 89, 57, 16, 82, 43, 21, 24, 5, 7, 38, 70, 71, 88, 77, 90, 2, 12, 37, 13, 86, 45, 19, 50, 81, 28, 75, 40, 84, 42, 58, 61, 68, 83, 30, 53, 100, 1, 99, 6, 25, 46, 14, 74, 27, 76, 36, 3, 94, 97, 79, 17, 29, 96, 34, 66, 51, 73, 98, 44, 11, 93, 72, 10, 56, 69, 85, 9, 8, 64, 23, 20, 32, 18, 55, 92, 4, 35, 22, 62, 52, 67, 48, 91]
80;0,1;OX;roulette;6768;1186;[42, 48, 86, 92, 11, 51, 12, 59, 95, 81, 49, 77, 43, 55, 15, 65, 89, 6, 74, 2, 57, 4, 16, 18, 14, 39, 88, 30, 97, 64, 58, 8, 53, 56, 82, 38, 33, 27, 79, 63, 93, 31, 46, 21, 17, 24, 3, 36, 80, 32, 71, 73, 50, 22, 19, 37, 45, 76, 7, 9, 47, 99, 66, 75, 44, 41, 13, 10, 23, 78, 1, 83, 96, 90, 35, 94, 20, 61, 98, 68, 28, 25, 26, 54, 67, 40, 29, 70, 62, 52, 87, 60, 34, 85, 69, 84, 100, 91, 5, 72]
100;0,1;OX;roulette;6698;1086;[65, 43, 45, 2, 62, 59, 94, 15, 41, 60, 33, 97, 26, 78, 90, 81, 11, 24, 79, 7, 64, 46, 30, 75, 13, 16, 58, 93, 99, 37, 12, 4, 47, 19, 82, 42, 84, 77, 95, 100, 10, 73, 89, 56, 72, 76, 23, 3, 88, 17, 20, 57, 22, 27, 74, 36, 70, 31, 52, 29, 53, 25, 61, 54, 51, 38, 86, 92, 39, 71, 91, 50, 87, 44, 40, 35, 68, 98, 28, 67, 8, 6, 5, 21, 63, 14, 48, 49, 69, 83, 32, 80, 18, 1, 55, 96, 66, 85, 9, 34]
20;0,1;OX;tournament;6893;551;[88, 96, 41, 31, 90, 7, 46, 4, 100, 23, 42, 68, 1, 38, 70, 79, 51, 33, 86, 16, 18, 56, 40, 95, 62, 80, 63, 14, 3, 54, 94, 28, 64, 24, 67, 71, 49, 13, 75, 21, 77, 11, 74, 43, 44, 48, 58, 36, 73, 27, 55, 78, 47, 99, 81, 37, 53, 15, 76, 12, 39, 65, 20, 98, 85, 57, 93, 89, 87, 83, 8, 32, 2, 50, 19, 35, 82, 60, 61, 30, 26, 17, 91, 10, 59, 66, 25, 92, 97, 84, 9, 6, 22, 69, 52, 5, 29, 45, 72, 34]
40;0,1;OX;tournament;6691;1663;[81, 78, 42, 11, 2, 50, 60, 73, 97, 15, 65, 95, 33, 20, 34, 43, 39, 16, 41, 31, 7, 3, 58, 80, 53, 44, 87, 70, 86, 51, 90, 94, 22, 54, 45, 37, 8, 40, 56, 67, 82, 69, 74, 28, 12, 46, 92, 17, 10, 25, 26, 21, 30, 62, 68, 76, 89, 59, 14, 6, 4, 23, 55, 71, 77, 79, 32, 29, 27, 48, 5, 64, 96, 13, 83, 61, 49, 66, 36, 91, 84, 19, 38, 88, 47, 85, 52, 63, 99, 35, 24, 93, 1, 75, 100, 9, 57, 18, 72, 98]
80;0,1;OX;tournament;6682;2083;[15, 89, 96, 11, 16, 60, 77, 2, 97, 82, 53, 7, 80, 37, 30, 19, 23, 12, 83, 90, 94, 54, 84, 47, 9, 27, 46, 42, 88, 74, 48, 14, 36, 51, 70, 69, 31, 75, 40, 41, 32, 38, 68, 79, 13, 86, 65, 78, 99, 45, 93, 39, 21, 17, 55, 61, 10, 95, 43, 58, 28, 35, 44, 72, 59, 71, 81, 1, 92, 52, 50, 24, 49, 62, 29, 87, 6, 56, 4, 67, 22, 25, 20, 26, 33, 73, 64, 76, 66, 3, 85, 8, 18, 100, 57, 63, 5, 34, 91, 98]
100;0,1;OX;tournament;6710;1499;[60, 43, 81, 2, 47, 80, 88, 15, 97, 37, 33, 44, 75, 89, 10, 29, 63, 45, 17, 38, 70, 21, 9, 94, 30, 65, 41, 22, 87, 12, 20, 67, 32, 24, 92, 61, 48, 40, 58, 34, 64, 35, 1, 14, 71, 74, 59, 83, 19, 72, 95, 76, 7, 90, 53, 42, 51, 91, 25, 3, 46, 86, 4, 39, 54, 23, 18, 57, 56, 5, 16, 28, 69, 49, 84, 8, 36, 62, 11, 13, 96, 50, 79, 73, 99, 52, 31, 6, 26, 55, 66, 68, 85, 78, 27, 77, 82, 100, 93, 98]
20;0,1;PMX;roulette;6834;1805;[37, 43, 86, 46, 89, 88, 58, 80, 79, 7, 83, 90, 12, 51, 33, 41, 29, 95, 50, 68, 19, 78, 60, 45, 8, 15, 28, 13, 55, 34, 53, 2, 14, 21, 4, 16, 100, 24, 17, 71, 25, 42, 38, 61, 54, 93, 27, 57, 96, 3, 97, 39, 82, 92, 47, 64, 31, 77, 94, 32, 44, 11, 69, 73, 22, 56, 48, 76, 81, 66, 40, 70, 49, 65, 63, 85, 5, 84, 20, 62, 6, 10, 35, 59, 52, 87, 30, 23, 75, 74, 99, 67, 1, 91, 98, 36, 9, 26, 72, 18]
40;0,1;PMX;roulette;6666;1220;[43, 15, 42, 89, 24, 25, 2, 94, 80, 4, 62, 81, 44, 33, 56, 38, 13, 41, 75, 82, 54, 97, 46, 16, 100, 39, 40, 21, 60, 63, 87, 50, 90, 86, 7, 69, 68, 58, 48, 19, 84, 11, 96, 77, 65, 10, 79, 83, 6, 61, 47, 66, 55, 18, 45, 76, 14, 34, 35, 57, 3, 88, 95, 28, 27, 12, 37, 9, 71, 53, 51, 30, 17, 31, 29, 85, 22, 73, 59, 8, 32, 74, 36, 70, 98, 92, 26, 99, 23, 49, 52, 1, 67, 91, 72, 78, 20, 64, 93, 5]
80;0,1;PMX;roulette;6687;1368;[81, 33, 62, 15, 16, 75, 37, 59, 68, 17, 60, 74, 51, 78, 19, 46, 48, 12, 11, 79, 97, 42, 31, 80, 82, 95, 34, 71, 47, 1, 41, 30, 65, 56, 26, 39, 49, 21, 70, 64, 85, 92, 67, 44, 23, 84, 69, 77, 50, 29, 89, 90, 99, 13, 10, 4, 76, 61, 9, 86, 25, 53, 94, 28, 88, 38, 40, 55, 57, 54, 8, 6, 3, 7, 32, 96, 83, 66, 2, 93, 87, 27, 100, 14, 72, 43, 35, 36, 20, 98, 24, 63, 58, 52, 73, 22, 45, 18, 5, 91]
100;0,1;PMX;roulette;6711;1187;[81, 60, 97, 37, 4, 89, 44, 65, 43, 77, 47, 41, 42, 31, 78, 46, 80, 94, 68, 51, 61, 15, 30, 17, 88, 40, 75, 10, 24, 76, 92, 100, 7, 90, 12, 82, 72, 48, 36, 85, 62, 34, 54, 39, 58, 45, 6, 93, 53, 9, 26, 2, 23, 29, 98, 16, 70, 21, 57, 50, 8, 32, 74, 27, 33, 14, 19, 71, 84, 13, 38, 95, 35, 87, 25, 63, 79, 56, 28, 67, 73, 20, 55, 64, 69, 99, 11, 49, 96, 52, 86, 3, 1, 59, 66, 22, 18, 5, 83, 91]
20;0,1;PMX;tournament;6715;2324;[37, 24, 16, 43, 81, 6, 34, 20, 13, 7, 60, 46, 59, 15, 51, 26, 32, 80, 19, 65, 54, 47, 97, 71, 30, 74, 14, 95, 41, 63, 4, 53, 22, 89, 39, 57, 44, 29, 50, 79, 68, 56, 69, 66, 94, 87, 28, 12, 2, 38, 88, 17, 76, 35, 83, 40, 77, 82, 70, 21, 86, 90, 23, 8, 33, 96, 27, 10, 73, 92, 78, 64, 18, 67, 36, 58, 100, 62, 98, 25, 99, 49, 1, 61, 45, 55, 93, 9, 5, 11, 3, 85, 84, 72, 91, 31, 48, 75, 42, 52]
40;0,1;PMX;tournament;6763;1082;[65, 50, 20, 62, 43, 54, 48, 95, 39, 2, 51, 63, 56, 12, 17, 90, 88, 38, 97, 70, 41, 4, 19, 46, 55, 7, 59, 68, 84, 80, 96, 57, 15, 74, 33, 23, 78, 29, 14, 35, 61, 93, 53, 37, 13, 49, 73, 1, 89, 42, 100, 99, 40, 64, 16, 8, 82, 30, 31, 3, 85, 22, 77, 5, 76, 67, 21, 25, 47, 44, 60, 71, 81, 18, 87, 24, 6, 26, 27, 58, 98, 34, 79, 10, 86, 83, 92, 32, 75, 28, 91, 69, 94, 9, 66, 11, 52, 45, 72, 36]
