population_size;mutation_chance;crossover;selection;fitness;iterations;result
80;0,1;PMX;roulette;3238;429;[11, 1, 6, 16, 3, 49, 5, 29, 20, 40, 26, 31, 41, 34, 10, 44, 22, 28, 14, 21, 19, 7, 27, 15, 48, 35, 4, 38, 17, 25, 30, 24, 9, 13, 46, 47, 2, 50, 18, 32, 23, 36, 39, 8, 43, 12, 33, 42, 45, 37]
100;0,1;PMX;roulette;3222;592;[6, 49, 7, 11, 39, 22, 46, 20, 1, 9, 21, 48, 43, 24, 29, 15, 17, 30, 26, 28, 31, 25, 5, 3, 32, 10, 14, 44, 4, 38, 27, 42, 23, 18, 36, 34, 19, 16, 8, 47, 35, 50, 41, 45, 13, 2, 12, 37, 40, 33]
20;0,1;PMX;tournament;3291;469;[40, 16, 20, 22, 8, 49, 11, 46, 1, 41, 25, 42, 5, 28, 17, 27, 23, 34, 6, 3, 39, 12, 29, 35, 48, 43, 26, 7, 21, 31, 4, 33, 45, 13, 2, 10, 32, 14, 19, 44, 47, 15, 36, 24, 9, 50, 38, 18, 30, 37]
40;0,1;PMX;tournament;3265;507;[44, 3, 6, 16, 20, 9, 1, 8, 11, 7, 29, 27, 38, 32, 10, 17, 18, 22, 24, 21, 30, 34, 25, 26, 39, 43, 4, 14, 13, 19, 31, 28, 48, 5, 47, 23, 35, 46, 41, 49, 50, 36, 2, 15, 45, 33, 12, 42, 40, 37]
80;0,1;PMX;tournament;3220;356;[11, 6, 27, 1, 9, 17, 16, 7, 39, 34, 47, 20, 5, 14, 19, 15, 22, 24, 10, 41, 29, 13, 4, 38, 44, 42, 31, 23, 21, 49, 35, 8, 26, 12, 48, 43, 32, 40, 25, 3, 30, 36, 37, 28, 2, 50, 18, 46, 45, 33]
100;0,1;PMX;tournament;3190;630;[11, 10, 8, 49, 1, 6, 3, 17, 39, 5, 20, 22, 13, 48, 16, 15, 27, 26, 31, 9, 7, 21, 19, 28, 30, 34, 24, 44, 42, 47, 32, 12, 25, 29, 40, 35, 43, 14, 38, 37, 4, 18, 41, 50, 46, 23, 36, 2, 33, 45]
20;0,2;OX;roulette;3226;757;[39, 6, 1, 9, 49, 29, 17, 44, 47, 15, 22, 28, 25, 8, 27, 12, 11, 42, 34, 18, 48, 16, 7, 40, 5, 24, 10, 43, 30, 4, 13, 14, 20, 35, 2, 21, 32, 26, 37, 3, 38, 19, 31, 36, 23, 41, 46, 50, 33, 45]
40;0,2;OX;roulette;3231;763;[1, 49, 47, 20, 27, 4, 42, 7, 31, 39, 44, 41, 6, 34, 28, 16, 11, 22, 43, 13, 10, 25, 24, 17, 35, 9, 2, 37, 3, 21, 29, 40, 46, 38, 45, 5, 8, 30, 15, 36, 48, 32, 23, 12, 33, 19, 14, 26, 18, 50]
80;0,2;OX;roulette;3185;295;[6, 1, 8, 49, 15, 11, 42, 17, 40, 25, 26, 20, 44, 32, 18, 3, 30, 31, 35, 7, 39, 46, 41, 27, 28, 9, 10, 36, 16, 22, 37, 47, 48, 24, 21, 34, 43, 50, 12, 5, 19, 13, 14, 38, 4, 23, 2, 29, 33, 45]
100;0,2;OX;roulette;3234;324;[11, 1, 41, 8, 6, 16, 27, 7, 20, 3, 17, 24, 44, 48, 42, 49, 47, 38, 39, 15, 32, 30, 26, 13, 33, 5, 40, 19, 29, 28, 35, 22, 45, 46, 25, 12, 36, 9, 50, 34, 21, 4, 14, 43, 31, 37, 10, 23, 18, 2]
20;0,2;OX;tournament;3209;611;[11, 6, 1, 8, 49, 7, 21, 20, 31, 25, 27, 18, 35, 22, 17, 5, 9, 3, 4, 29, 40, 39, 28, 19, 41, 44, 47, 30, 34, 50, 48, 16, 10, 26, 12, 42, 32, 23, 13, 43, 24, 33, 36, 45, 2, 15, 46, 14, 38, 37]
40;0,2;OX;tournament;3190;542;[11, 27, 6, 1, 8, 16, 26, 7, 20, 17, 5, 12, 49, 30, 28, 22, 32, 4, 44, 9, 38, 29, 24, 18, 31, 48, 41, 35, 14, 23, 43, 47, 46, 34, 40, 25, 2, 10, 15, 39, 19, 13, 21, 42, 3, 36, 50, 37, 33, 45]
80;0,2;OX;tournament;3194;458;[6, 1, 3, 20, 49, 15, 17, 8, 21, 7, 11, 39, 22, 29, 12, 31, 24, 28, 27, 42, 25, 30, 26, 44, 47, 14, 38, 16, 4, 35, 43, 5, 34, 40, 36, 32, 48, 9, 23, 2, 46, 41, 18, 33, 10, 13, 37, 19, 50, 45]
100;0,2;OX;tournament;3281;446;[27, 34, 7, 48, 10, 49, 1, 3, 5, 6, 4, 17, 9, 22, 30, 13, 15, 39, 29, 42, 46, 31, 20, 11, 12, 19, 14, 40, 32, 21, 8, 24, 44, 41, 26, 28, 16, 33, 43, 38, 35, 25, 47, 36, 37, 2, 18, 23, 50, 45]
20;0,2;PMX;roulette;3267;502;[44, 9, 11, 47, 17, 27, 8, 1, 46, 28, 3, 21, 22, 6, 49, 42, 41, 20, 16, 31, 4, 14, 36, 35, 25, 5, 40, 34, 38, 23, 50, 10, 19, 26, 15, 37, 30, 39, 12, 7, 24, 33, 32, 13, 48, 43, 18, 45, 29, 2]
40;0,2;PMX;roulette;3276;281;[1, 49, 11, 16, 3, 22, 6, 28, 44, 42, 38, 47, 5, 24, 41, 20, 32, 39, 25, 23, 46, 9, 27, 40, 37, 13, 34, 19, 36, 43, 35, 8, 7, 15, 17, 4, 29, 14, 30, 26, 18, 48, 33, 2, 10, 12, 31, 21, 45, 50]
80;0,2;PMX;roulette;3264;295;[20, 9, 39, 6, 49, 47, 4, 11, 24, 44, 27, 28, 29, 35, 22, 8, 38, 5, 34, 18, 25, 1, 43, 7, 48, 12, 13, 16, 14, 42, 3, 30, 31, 32, 17, 41, 40, 36, 15, 19, 26, 50, 46, 45, 10, 23, 21, 2, 33, 37]
100;0,2;PMX;roulette;3236;272;[11, 1, 48, 49, 22, 47, 31, 44, 21, 10, 43, 6, 8, 5, 7, 20, 39, 19, 13, 14, 3, 40, 16, 9, 30, 24, 29, 41, 4, 27, 46, 38, 17, 18, 25, 35, 42, 32, 15, 26, 12, 50, 37, 36, 23, 34, 28, 33, 45, 2]
20;0,2;PMX;tournament;3286;696;[11, 6, 40, 39, 20, 16, 7, 1, 32, 21, 4, 3, 10, 5, 26, 12, 24, 34, 44, 17, 22, 8, 41, 37, 27, 29, 19, 38, 25, 33, 42, 47, 18, 31, 35, 49, 36, 13, 48, 9, 15, 30, 46, 50, 2, 28, 14, 23, 45, 43]
40;0,2;PMX;tournament;3194;462;[6, 16, 34, 3, 17, 22, 21, 1, 47, 20, 49, 15, 30, 5, 24, 27, 32, 42, 7, 39, 11, 18, 31, 8, 35, 25, 23, 29, 41, 28, 44, 48, 43, 2, 12, 36, 10, 4, 40, 14, 26, 46, 38, 19, 37, 9, 33, 13, 50, 45]
80;0,2;PMX;tournament;3201;402;[1, 8, 40, 49, 11, 3, 29, 17, 5, 22, 14, 7, 20, 6, 13, 27, 32, 15, 16, 21, 34, 9, 39, 24, 10, 28, 47, 44, 48, 25, 31, 23, 26, 35, 12, 42, 46, 30, 43, 38, 4, 18, 36, 41, 37, 45, 50, 33, 19, 2]
100;0,2;PMX;tournament;3193;429;[11, 49, 6, 1, 36, 9, 3, 7, 17, 20, 16, 5, 21, 40, 22, 10, 8, 18, 24, 30, 13, 48, 26, 44, 12, 35, 27, 32, 31, 23, 39, 47, 28, 34, 42, 15, 41, 25, 43, 4, 29, 50, 38, 14, 19, 46, 37, 33, 45, 2]
20;0,4;OX;roulette;3198;625;[44, 20, 8, 49, 1, 38, 16, 47, 6, 24, 21, 22, 28, 42, 15, 41, 3, 10, 9, 48, 43, 30, 14, 11, 26, 7, 27, 40, 31, 4, 19, 39, 12, 50, 32, 17, 35, 5, 2, 25, 34, 46, 13, 23, 29, 33, 18, 36, 37, 45]
40;0,4;OX;roulette;3213;772;[11, 27, 20, 16, 3, 30, 29, 28, 24, 42, 19, 1, 17, 8, 15, 39, 43, 40, 10, 14, 26, 49, 18, 36, 6, 48, 4, 7, 9, 46, 41, 31, 44, 38, 21, 35, 25, 22, 12, 50, 32, 34, 13, 5, 23, 2, 47, 33, 37, 45]
80;0,4;OX;roulette;3217;304;[6, 1, 20, 44, 8, 27, 7, 48, 47, 40, 21, 15, 49, 11, 17, 22, 28, 24, 35, 50, 32, 30, 16, 39, 37, 19, 41, 3, 34, 31, 36, 12, 10, 4, 26, 25, 42, 13, 38, 29, 5, 43, 46, 9, 18, 2, 14, 45, 23, 33]
100;0,4;OX;roulette;3186;523;[6, 44, 49, 11, 1, 46, 48, 22, 34, 30, 28, 16, 17, 7, 24, 25, 26, 15, 35, 21, 29, 40, 18, 41, 23, 42, 19, 43, 12, 14, 9, 13, 39, 10, 32, 27, 47, 20, 8, 50, 33, 3, 36, 31, 4, 38, 5, 2, 37, 45]
20;0,4;OX;tournament;3233;428;[49, 11, 48, 22, 4, 44, 1, 8, 16, 47, 7, 20, 3, 10, 17, 24, 31, 25, 29, 26, 35, 21, 34, 43, 18, 36, 45, 14, 40, 46, 32, 6, 5, 38, 30, 27, 12, 28, 42, 50, 15, 37, 23, 39, 41, 13, 33, 19, 9, 2]
40;0,4;OX;tournament;3209;535;[11, 6, 1, 22, 37, 3, 10, 14, 8, 7, 17, 20, 15, 27, 9, 29, 16, 26, 21, 49, 39, 41, 42, 30, 4, 38, 5, 44, 47, 31, 18, 19, 24, 32, 25, 34, 43, 35, 40, 12, 36, 28, 48, 2, 23, 46, 33, 13, 50, 45]
80;0,4;OX;tournament;3194;386;[6, 1, 8, 17, 27, 28, 49, 3, 34, 11, 22, 18, 42, 15, 30, 48, 16, 38, 5, 9, 40, 14, 35, 25, 43, 7, 39, 12, 20, 23, 2, 10, 24, 33, 36, 44, 31, 19, 13, 32, 46, 4, 21, 26, 29, 37, 41, 47, 50, 45]
100;0,4;OX;tournament;3140;558;[44, 49, 6, 7, 17, 1, 8, 3, 27, 28, 42, 34, 41, 10, 20, 11, 14, 22, 47, 24, 16, 29, 40, 48, 4, 18, 33, 43, 32, 21, 39, 15, 30, 13, 35, 9, 31, 25, 50, 19, 26, 12, 38, 5, 46, 23, 36, 37, 45, 2]
20;0,4;PMX;roulette;3245;346;[34, 49, 11, 12, 20, 22, 8, 24, 42, 47, 40, 17, 4, 28, 48, 27, 16, 18, 7, 39, 6, 25, 1, 10, 14, 23, 41, 29, 44, 31, 19, 26, 15, 30, 2, 5, 9, 38, 46, 21, 13, 35, 37, 3, 43, 36, 32, 50, 33, 45]
40;0,4;PMX;roulette;3232;359;[11, 22, 15, 44, 26, 10, 49, 17, 1, 28, 48, 24, 39, 27, 6, 31, 4, 35, 13, 42, 21, 32, 23, 47, 30, 38, 46, 41, 5, 45, 18, 25, 34, 16, 3, 7, 50, 20, 8, 9, 36, 43, 19, 2, 14, 12, 37, 29, 40, 33]
80;0,4;PMX;roulette;3213;376;[11, 39, 6, 17, 1, 20, 34, 3, 9, 26, 10, 24, 14, 7, 47, 8, 27, 32, 19, 16, 29, 40, 15, 42, 25, 35, 22, 28, 48, 30, 5, 4, 44, 49, 41, 21, 50, 2, 45, 18, 36, 23, 46, 43, 31, 12, 13, 37, 38, 33]
100;0,4;PMX;roulette;3194;355;[6, 49, 11, 1, 22, 12, 39, 8, 30, 16, 14, 44, 7, 21, 28, 26, 10, 3, 31, 17, 24, 20, 42, 27, 13, 47, 48, 4, 40, 35, 29, 38, 37, 25, 41, 34, 23, 15, 36, 43, 32, 46, 9, 19, 2, 18, 33, 5, 50, 45]
20;0,4;PMX;tournament;3226;368;[1, 47, 6, 20, 30, 8, 24, 28, 22, 39, 27, 17, 44, 48, 12, 4, 49, 41, 16, 50, 11, 9, 7, 14, 26, 38, 21, 25, 29, 3, 33, 43, 13, 31, 36, 40, 19, 34, 18, 10, 32, 35, 5, 15, 46, 37, 23, 42, 45, 2]
40;0,4;PMX;tournament;3206;459;[6, 1, 8, 13, 11, 5, 9, 47, 27, 15, 10, 26, 20, 21, 34, 17, 16, 24, 22, 48, 44, 49, 28, 32, 43, 4, 29, 40, 35, 25, 31, 3, 30, 39, 19, 7, 41, 37, 18, 14, 36, 42, 46, 12, 23, 2, 38, 33, 50, 45]
80;0,4;PMX;tournament;3173;826;[49, 6, 1, 9, 47, 7, 39, 32, 44, 3, 21, 30, 28, 5, 34, 38, 46, 16, 10, 22, 25, 2, 15, 27, 17, 13, 20, 23, 42, 11, 31, 35, 26, 12, 14, 40, 8, 19, 29, 18, 48, 24, 43, 36, 4, 33, 50, 41, 37, 45]
100;0,4;PMX;tournament;3194;306;[6, 1, 8, 17, 20, 49, 47, 24, 44, 5, 12, 16, 27, 32, 34, 9, 40, 11, 29, 18, 38, 35, 22, 28, 43, 42, 15, 46, 39, 19, 7, 36, 48, 31, 25, 30, 13, 14, 33, 10, 4, 37, 23, 26, 2, 3, 21, 41, 50, 45]
20;0,6;OX;roulette;3224;333;[44, 49, 48, 22, 16, 34, 3, 10, 1, 9, 47, 6, 4, 39, 20, 30, 15, 14, 21, 32, 7, 11, 5, 38, 27, 8, 28, 42, 12, 40, 17, 35, 26, 31, 25, 23, 24, 36, 43, 46, 19, 29, 41, 50, 13, 37, 18, 45, 33, 2]
40;0,6;OX;roulette;3247;281;[44, 34, 11, 22, 14, 27, 6, 1, 49, 48, 18, 21, 41, 16, 8, 15, 26, 4, 47, 17, 3, 40, 25, 42, 38, 43, 19, 24, 2, 7, 36, 45, 31, 30, 13, 20, 29, 35, 46, 28, 33, 10, 9, 5, 32, 37, 12, 39, 23, 50]
80;0,6;OX;roulette;3254;277;[11, 44, 49, 1, 29, 28, 8, 10, 22, 6, 39, 18, 25, 7, 48, 3, 17, 19, 20, 31, 4, 26, 35, 30, 9, 12, 5, 32, 42, 15, 27, 40, 21, 2, 24, 47, 50, 36, 16, 33, 13, 38, 46, 41, 45, 23, 14, 34, 43, 37]
100;0,6;OX;roulette;3190;289;[11, 49, 6, 21, 17, 1, 40, 20, 26, 16, 47, 22, 44, 31, 25, 27, 32, 43, 12, 24, 48, 7, 18, 39, 14, 19, 4, 9, 38, 30, 34, 28, 36, 29, 35, 23, 10, 41, 5, 8, 3, 42, 45, 50, 15, 33, 13, 46, 37, 2]
20;0,6;OX;tournament;3213;605;[11, 44, 49, 31, 10, 41, 20, 5, 32, 6, 1, 4, 3, 8, 9, 27, 13, 17, 21, 29, 16, 7, 30, 24, 40, 36, 26, 18, 50, 48, 35, 25, 46, 22, 12, 37, 39, 34, 43, 28, 23, 42, 19, 47, 2, 15, 14, 38, 33, 45]
40;0,6;OX;tournament;3216;497;[11, 1, 6, 16, 17, 39, 47, 28, 44, 10, 22, 20, 21, 23, 26, 7, 24, 25, 34, 12, 41, 29, 40, 46, 49, 3, 30, 14, 31, 35, 4, 42, 9, 38, 27, 32, 19, 33, 13, 5, 45, 18, 36, 15, 8, 48, 43, 50, 2, 37]
80;0,6;OX;tournament;3225;493;[11, 1, 48, 4, 6, 30, 8, 7, 27, 28, 10, 9, 39, 49, 20, 26, 29, 44, 25, 34, 43, 15, 5, 31, 16, 40, 32, 35, 3, 21, 33, 22, 12, 14, 42, 17, 18, 19, 38, 36, 45, 41, 46, 24, 13, 37, 23, 47, 50, 2]
100;0,6;OX;tournament;3172;734;[6, 1, 11, 5, 22, 47, 20, 27, 34, 31, 10, 8, 18, 3, 19, 30, 14, 24, 49, 29, 28, 16, 26, 7, 9, 42, 15, 21, 43, 44, 41, 36, 40, 46, 48, 17, 12, 23, 39, 32, 25, 35, 4, 33, 2, 13, 38, 50, 37, 45]
20;0,6;PMX;roulette;3212;335;[11, 41, 20, 26, 6, 5, 27, 15, 34, 17, 1, 8, 44, 16, 32, 24, 7, 25, 49, 21, 9, 47, 50, 10, 43, 28, 30, 14, 3, 36, 22, 42, 18, 48, 40, 35, 23, 46, 4, 29, 31, 39, 45, 12, 37, 19, 13, 38, 33, 2]
40;0,6;PMX;roulette;3197;392;[44, 49, 11, 1, 20, 22, 6, 9, 17, 38, 15, 27, 8, 24, 47, 46, 7, 21, 50, 25, 30, 42, 13, 34, 16, 28, 36, 12, 19, 39, 43, 48, 31, 35, 5, 40, 4, 10, 32, 14, 41, 23, 45, 26, 37, 3, 29, 18, 33, 2]
80;0,6;PMX;roulette;3194;482;[44, 8, 49, 6, 47, 27, 15, 29, 20, 16, 43, 31, 1, 46, 9, 17, 24, 26, 11, 7, 33, 34, 13, 25, 36, 32, 18, 48, 21, 3, 40, 39, 19, 35, 22, 2, 28, 37, 41, 10, 23, 14, 30, 12, 42, 38, 4, 5, 50, 45]
100;0,6;PMX;roulette;3225;620;[11, 6, 5, 49, 1, 48, 3, 22, 32, 44, 47, 17, 24, 39, 9, 7, 16, 31, 12, 27, 20, 10, 34, 28, 35, 8, 43, 25, 33, 41, 42, 26, 19, 29, 40, 46, 21, 4, 13, 36, 15, 18, 38, 23, 50, 45, 14, 30, 37, 2]
20;0,6;PMX;tournament;3190;450;[11, 27, 41, 47, 20, 1, 8, 17, 23, 9, 6, 22, 28, 5, 3, 7, 29, 44, 39, 31, 15, 21, 19, 49, 16, 30, 34, 40, 36, 25, 33, 4, 42, 26, 32, 35, 43, 13, 24, 46, 48, 2, 18, 12, 38, 50, 10, 14, 37, 45]
40;0,6;PMX;tournament;3206;773;[11, 7, 20, 16, 1, 21, 49, 44, 29, 15, 26, 6, 14, 3, 34, 24, 22, 25, 12, 17, 27, 33, 8, 39, 13, 31, 43, 10, 35, 4, 41, 5, 40, 32, 42, 28, 9, 48, 30, 18, 23, 46, 38, 47, 36, 19, 37, 50, 45, 2]
80;0,6;PMX;tournament;3181;285;[49, 11, 22, 6, 39, 9, 41, 15, 17, 1, 8, 20, 27, 29, 3, 7, 34, 21, 31, 44, 25, 35, 47, 32, 48, 13, 23, 36, 43, 30, 10, 50, 28, 14, 19, 16, 2, 4, 40, 5, 38, 18, 26, 12, 42, 46, 24, 33, 37, 45]
100;0,6;PMX;tournament;3169;579;[6, 1, 20, 34, 3, 17, 16, 10, 39, 49, 7, 11, 50, 22, 28, 8, 40, 5, 24, 48, 25, 2, 30, 27, 32, 44, 47, 35, 4, 14, 9, 41, 21, 18, 29, 19, 26, 15, 43, 31, 33, 12, 42, 38, 46, 36, 45, 13, 37, 23]
20;0,8;OX;roulette;3242;763;[1, 48, 16, 7, 3, 6, 27, 34, 25, 49, 44, 31, 46, 11, 28, 30, 8, 12, 39, 38, 29, 21, 26, 15, 41, 20, 24, 17, 9, 35, 43, 22, 36, 47, 10, 19, 50, 32, 37, 42, 45, 4, 5, 18, 33, 13, 23, 14, 40, 2]
40;0,8;OX;roulette;3190;499;[11, 27, 17, 8, 49, 22, 28, 6, 1, 9, 4, 39, 7, 15, 42, 20, 30, 18, 21, 24, 31, 25, 35, 26, 16, 34, 47, 36, 44, 40, 3, 13, 32, 48, 19, 50, 33, 41, 29, 12, 10, 23, 2, 5, 43, 14, 38, 46, 37, 45]
80;0,8;OX;roulette;3185;351;[6, 27, 49, 15, 44, 17, 24, 8, 40, 47, 20, 1, 36, 30, 23, 41, 11, 5, 32, 25, 34, 39, 16, 21, 28, 9, 22, 7, 35, 42, 43, 10, 4, 12, 50, 48, 18, 26, 31, 13, 3, 29, 37, 38, 33, 46, 45, 19, 14, 2]
100;0,8;OX;roulette;3158;619;[44, 49, 3, 17, 6, 1, 48, 20, 27, 7, 39, 32, 12, 24, 42, 16, 11, 22, 13, 35, 23, 47, 29, 4, 10, 43, 14, 31, 8, 34, 40, 9, 36, 21, 38, 18, 41, 46, 25, 26, 15, 30, 33, 5, 28, 19, 50, 37, 2, 45]
20;0,8;OX;tournament;3194;425;[49, 11, 20, 26, 6, 7, 21, 12, 32, 44, 1, 48, 27, 34, 25, 9, 17, 13, 8, 43, 28, 10, 24, 30, 22, 46, 18, 38, 4, 5, 35, 42, 47, 14, 41, 23, 29, 39, 15, 31, 16, 3, 40, 36, 33, 37, 19, 2, 50, 45]
40;0,8;OX;tournament;3176;617;[6, 1, 3, 20, 8, 27, 12, 22, 26, 24, 34, 44, 39, 7, 10, 9, 16, 31, 11, 13, 49, 29, 19, 28, 48, 21, 40, 5, 41, 23, 17, 38, 35, 25, 4, 43, 42, 50, 47, 36, 15, 30, 32, 37, 46, 18, 33, 45, 14, 2]
80;0,8;OX;tournament;3167;616;[49, 6, 1, 11, 20, 16, 26, 7, 21, 28, 48, 3, 22, 14, 44, 27, 47, 17, 40, 24, 25, 31, 32, 33, 30, 35, 4, 34, 5, 41, 23, 43, 12, 50, 38, 39, 10, 46, 8, 19, 13, 18, 36, 37, 9, 29, 15, 42, 45, 2]
100;0,8;OX;tournament;3150;807;[6, 27, 8, 28, 17, 49, 44, 47, 1, 15, 48, 20, 22, 11, 26, 4, 14, 40, 16, 38, 42, 30, 3, 43, 29, 50, 24, 31, 35, 36, 25, 7, 5, 32, 10, 23, 9, 12, 39, 33, 19, 41, 13, 34, 18, 2, 46, 21, 37, 45]
20;0,8;PMX;roulette;3175;674;[49, 6, 7, 20, 1, 8, 48, 9, 40, 10, 13, 27, 25, 3, 17, 31, 35, 39, 34, 11, 50, 4, 22, 36, 32, 19, 44, 16, 24, 29, 23, 30, 5, 15, 41, 42, 28, 26, 43, 18, 21, 47, 12, 14, 46, 37, 38, 45, 33, 2]
40;0,8;PMX;roulette;3258;458;[11, 1, 15, 49, 21, 25, 42, 7, 20, 3, 46, 34, 17, 31, 39, 44, 27, 14, 30, 47, 24, 45, 13, 10, 16, 29, 32, 35, 18, 48, 19, 28, 22, 41, 37, 43, 4, 9, 36, 6, 23, 5, 26, 2, 38, 33, 12, 8, 40, 50]
80;0,8;PMX;roulette;3200;420;[11, 6, 24, 27, 29, 7, 20, 1, 48, 41, 3, 14, 9, 10, 28, 49, 17, 30, 16, 13, 34, 25, 35, 26, 22, 12, 21, 44, 37, 40, 36, 39, 31, 23, 43, 15, 4, 42, 33, 32, 47, 46, 38, 19, 8, 5, 18, 50, 45, 2]
100;0,8;PMX;roulette;3190;306;[11, 27, 17, 6, 1, 46, 28, 48, 16, 22, 34, 47, 31, 5, 20, 32, 24, 49, 8, 44, 43, 40, 36, 30, 4, 3, 35, 29, 38, 23, 41, 14, 25, 12, 26, 7, 33, 9, 21, 13, 18, 39, 42, 15, 19, 50, 2, 10, 37, 45]
20;0,8;PMX;tournament;3194;553;[49, 47, 11, 1, 6, 20, 4, 29, 39, 7, 16, 48, 22, 8, 24, 44, 32, 5, 43, 25, 27, 15, 14, 30, 26, 18, 40, 17, 35, 37, 28, 34, 10, 42, 3, 12, 9, 33, 41, 21, 38, 46, 31, 36, 23, 13, 19, 2, 50, 45]
40;0,8;PMX;tournament;3194;747;[11, 27, 6, 49, 1, 29, 3, 17, 21, 20, 9, 16, 42, 7, 28, 30, 8, 15, 39, 22, 38, 44, 32, 12, 48, 33, 25, 41, 13, 35, 5, 43, 10, 40, 37, 26, 19, 31, 4, 14, 36, 23, 34, 47, 24, 46, 2, 18, 50, 45]
80;0,8;PMX;tournament;3185;424;[6, 1, 3, 47, 20, 8, 40, 17, 13, 48, 27, 24, 34, 11, 39, 22, 10, 26, 7, 44, 49, 30, 37, 28, 21, 15, 36, 16, 41, 29, 25, 9, 50, 32, 4, 5, 31, 43, 35, 46, 19, 2, 18, 42, 38, 23, 12, 14, 33, 45]
100;0,8;PMX;tournament;3185;480;[6, 1, 3, 11, 14, 8, 27, 22, 17, 15, 20, 16, 26, 49, 48, 47, 44, 34, 4, 39, 7, 10, 18, 28, 42, 9, 31, 25, 46, 40, 30, 5, 38, 35, 41, 37, 29, 19, 50, 12, 24, 32, 21, 23, 43, 13, 36, 2, 33, 45]
