population_size;mutation_chance;crossover;selection;fitness;iterations;result
20;0,1;OX;roulette;3258;479;[11, 27, 29, 41, 39, 6, 15, 21, 1, 9, 3, 36, 42, 19, 34, 8, 40, 49, 7, 20, 5, 38, 24, 28, 17, 30, 32, 25, 22, 46, 44, 45, 26, 12, 35, 13, 31, 48, 18, 16, 4, 47, 37, 43, 33, 14, 23, 2, 10, 50]
40;0,1;OX;roulette;3309;484;[1, 42, 34, 19, 7, 15, 48, 28, 11, 16, 49, 18, 39, 6, 30, 21, 12, 27, 44, 32, 26, 3, 36, 25, 4, 2, 43, 31, 33, 17, 20, 35, 22, 8, 10, 23, 41, 29, 5, 13, 38, 46, 24, 14, 9, 37, 47, 40, 45, 50]
80;0,1;OX;roulette;3231;553;[6, 1, 8, 3, 44, 20, 28, 9, 43, 48, 13, 16, 38, 49, 29, 10, 31, 17, 23, 30, 34, 46, 22, 37, 15, 27, 24, 47, 42, 12, 40, 32, 21, 36, 26, 25, 18, 41, 11, 50, 35, 39, 4, 14, 19, 5, 7, 33, 45, 2]
100;0,1;OX;roulette;3223;452;[11, 38, 17, 6, 20, 24, 27, 5, 47, 1, 21, 41, 15, 32, 16, 22, 48, 42, 49, 31, 3, 4, 7, 33, 26, 18, 34, 43, 36, 44, 8, 40, 30, 35, 39, 28, 14, 19, 12, 25, 23, 29, 13, 10, 46, 37, 9, 50, 45, 2]
20;0,1;OX;tournament;3211;980;[11, 17, 8, 49, 6, 1, 20, 44, 26, 4, 39, 7, 10, 3, 42, 22, 16, 25, 43, 14, 38, 12, 41, 35, 5, 50, 34, 21, 28, 27, 40, 36, 9, 29, 24, 15, 32, 30, 48, 2, 23, 47, 18, 13, 46, 31, 19, 37, 33, 45]
40;0,1;OX;tournament;3193;522;[6, 49, 17, 1, 10, 20, 4, 22, 9, 15, 42, 11, 44, 39, 29, 19, 28, 26, 31, 34, 25, 30, 24, 41, 5, 37, 43, 32, 23, 12, 27, 47, 7, 50, 48, 16, 36, 35, 3, 14, 2, 40, 46, 8, 18, 21, 13, 38, 33, 45]
80;0,1;OX;tournament;3152;670;[6, 1, 20, 27, 13, 48, 49, 47, 25, 7, 17, 16, 18, 10, 39, 32, 11, 26, 8, 40, 46, 22, 35, 44, 3, 36, 30, 31, 4, 5, 34, 14, 38, 24, 9, 23, 29, 12, 21, 43, 28, 33, 42, 15, 41, 50, 37, 19, 2, 45]
100;0,1;OX;tournament;3271;531;[1, 6, 3, 8, 15, 17, 11, 20, 22, 18, 9, 14, 30, 28, 42, 16, 32, 44, 26, 47, 24, 10, 25, 31, 27, 12, 35, 50, 36, 49, 39, 21, 13, 48, 43, 4, 19, 7, 29, 38, 46, 41, 37, 33, 34, 5, 40, 23, 2, 45]
20;0,1;PMX;roulette;3274;517;[11, 6, 16, 1, 47, 17, 18, 28, 48, 30, 49, 31, 21, 7, 20, 27, 3, 22, 9, 15, 42, 25, 44, 41, 5, 32, 35, 12, 36, 43, 2, 37, 23, 29, 24, 45, 39, 14, 10, 34, 19, 13, 8, 46, 26, 40, 4, 38, 33, 50]
40;0,1;PMX;roulette;3258;392;[11, 1, 34, 20, 10, 27, 2, 16, 39, 32, 25, 22, 47, 31, 6, 24, 23, 4, 14, 7, 38, 21, 49, 40, 18, 29, 30, 28, 36, 3, 17, 9, 35, 8, 46, 41, 12, 44, 26, 48, 45, 33, 5, 15, 42, 43, 13, 37, 19, 50]
